dimension,indicator_or_basis,GPT,Midjourney,jimeng,tongyi,cross_model_stability,evidence_confidence,summary_rationale,notes
发展导向行为压缩,development_oriented_agency,偏见风险 / 高置信度,一般群体差异-反向结果 / 中置信度,偏见风险 / 高置信度,偏见风险 / 高置信度,多数模型稳定,高,"GPT、即梦、通义均显示老年组发展导向行为低于年轻组；Midjourney 为重要例外，老年组发展导向行为更高。","不应表述为老年人更被动；应表述为多数模型中发展导向行动向 maintenance 压缩。"
身体姿态收缩,BHI,证据不足或较弱 / 中置信度,刻板化风险 / 中置信度,证据不足或较弱 / 中置信度,刻板化风险 / 中置信度,混合,中,"Midjourney 与通义支持老年组 BHI 更高；GPT、即梦不支持或较弱。","BHI 为技术/视觉指标，不能直接解释为衰弱或身体负面化。"
科技生活符号排除,modern_object,偏见风险 / 高置信度,刻板化风险 / 高置信度,偏见风险 / 高置信度,偏见风险 / 高置信度,高度稳定,高,"四个模型均显示老年组科技/现代性符号显著低于年轻组，是最稳定的跨模型模式之一。","需结合现实数字鸿沟证据；不能机械判定，但可作为去现代化风险核心证据。"
传统文化符号固定化,traditional_cultural_marker,刻板化风险 / 高置信度,刻板化风险 / 高置信度,刻板化风险 / 高置信度,刻板化风险 / 高置信度,高度稳定,高,"四个模型均显示老年组传统文化符号高于年轻组。","传统文化符号本身不负面；风险来自与去现代化、国籍刻板化或老年身份固定化结合。"
乡村生活符号化,rural_scene,刻板化风险 / 高置信度,刻板化风险 / 中置信度,偏见风险 / 高置信度,一般群体差异或刻板化风险 / 中置信度,多数模型稳定,中高,"城乡补充分析显示老年组乡村生活符号在四个模型中均更高；H6c 中 GPT、即梦更强，Midjourney 边界，通义不显著。","图像可见乡村线索不等同于现实居住分布；需结合 population benchmark 谨慎解释。"
家庭化/室内化,scene_type,一般群体差异或刻板化风险 / 中置信度,一般群体差异 / 中置信度,偏见风险 / 高置信度,刻板化风险 / 中置信度,模型差异明显,中,"即梦最强烈表现为 home/indoor/alone；GPT 与通义有庭院/户外老年模板；Midjourney 场景压缩较弱。","场景类型不是现实时间使用数据，需避免机械偏见化。"
独处化,is_alone,一般群体差异-描述性弱 / 中置信度,无显著差异 / 中置信度,偏见风险 / 高置信度,无显著差异 / 中置信度,模型特异,中,"即梦老年组独处显著增加且幅度大；GPT 控制后显著但描述性弱；Midjourney、通义不支持。","单人图像不等于孤独；作为社会连接弱化的辅助证据。"
医疗化,has_medical_object / medical_object_count,证据不足 / 低置信度,刻板化风险 / 中置信度,证据不足 / 低置信度,偏见风险 / 中置信度,模型特异,低到中,"Midjourney 和通义出现较明显医疗/辅助物体年龄化，通义尤其突出；当前 reliability workbook 对 medical object 未形成可计算人工复核。","医疗需求存在现实年龄差异；需补充人工复核和现实证据后再提高结论强度。"
视觉氛围弱化,bg_brightness/bg_saturation/entropy,刻板化风险 / 中置信度,混合或证据不足 / 中置信度,刻板化风险 / 中置信度,刻板化风险 / 中置信度,部分稳定,中,"GPT、即梦、通义多显示老年组背景亮度降低；饱和度和熵方向不完全一致；Midjourney更混合。","R层为共鸣层视觉证据，不单独裁决偏见。"
视觉构图边缘化,center_distance/area_ratio,一般群体差异 / 中置信度,刻板化风险 / 中置信度,证据冲突 / 中置信度,证据冲突 / 中置信度,混合,中,"Midjourney 老年组更远离中心且人物占比更低；GPT center distance 有支持但 area ratio 不支持；即梦和通义方向混合。","构图指标高度受模型风格影响，应作为辅助证据。"
性别交叉风险,H5a/H5b,偏见风险 / 高置信度,刻板化风险 / 中置信度,刻板化风险 / 中置信度,刻板化风险 / 中置信度,多数模型部分支持,中高,"GPT 老年女性发展导向行为下降和家庭化均支持；Midjourney 老年女性家庭化强但交互解释复杂；即梦支持 H5a 不支持 H5b；通义 H5b 支持，H5a 描述性弱。","需区分老年组描述差异与 age×gender 交互项。"
国籍交叉风险,H6a/H6b/H6c,偏见风险 / 高置信度,偏见风险 / 高置信度,偏见风险 / 高置信度,偏见风险 / 高置信度,高度稳定,高,"四个模型均显示中国老年人物现代性符号低于美国老年人物、传统文化符号高于美国老年人物；乡村生活符号在中国老年图像中也更高。","H6a/H6b 描述差异强，但交互项不总是显著；需避免把文化符号本身直接定义为负面。"
