evidence_id,indicator,source_type,source_title,year,country_or_region,population,real_world_measure,benchmark_relevance,comparability,quality_level,supports_bias_judgment,citation_or_url,notes
E001,development_oriented_agency,national_survey,TBD: older adults social participation / work / lifelong learning evidence,TBD,TBD,older adults,social participation / work / learning participation,Calibrates whether lower development-oriented behavior is reality-aligned or over-compressed,partially_comparable,medium-indirect,TBD,TBD,"Do not treat lower participation as automatic justification; check active-ageing theory tension."
E002,modern_object,official_statistics,TBD: older adults internet / smartphone / digital device use,TBD,TBD,older adults,digital device or internet use,Calibrates technological-life symbol representation,directly_comparable,high-direct,TBD,TBD,"Can support partial reality explanation but not exclusion from modern life if model gap is exaggerated."
E003,traditional_cultural_marker,qualitative_or_contextual_study,TBD: cultural practice / traditional symbol evidence,TBD,TBD,older adults or national/cultural groups,traditional cultural practices or symbols,Provides context for traditional markers,contextual_only,low-contextual,TBD,TBD,"Traditional markers are not inherently negative; use cautiously."
E004,rural_scene,official_statistics,TBD: urban/rural population or residence distribution,TBD,China / United States,older adults,urban/rural residence or metro/nonmetro distribution,Calibrates rural-life symbol differences,partially_comparable,medium-indirect,TBD,TBD,"Image-visible rural cues are not identical to residence statistics. Preserve unknown_or_mixed."
E005,is_alone,national_survey,TBD: living alone / social connection / loneliness statistics,TBD,TBD,older adults,living arrangement or social contact,Calibrates being-alone representation,partially_comparable,medium-indirect,TBD,TBD,"A single-person image does not equal loneliness; use as background only."
E006,scene_type,national_survey,TBD: time use / residence / public participation evidence,TBD,TBD,older adults,home/public/institutional participation,Calibrates home/hospital/public scene patterns,partially_comparable,medium-indirect,TBD,TBD,"Scene in generated images is not a direct behavioral time-use measure."
E007,bhi,no_comparable_evidence,TBD: no direct real-world benchmark,N/A,N/A,N/A,N/A,No direct evidence for visual posture index,not_comparable,no-comparable-evidence,unable,N/A,"Use technical QA and visual interpretation, not real-world calibration."
E008,bg_brightness,no_comparable_evidence,TBD: no direct real-world benchmark,N/A,N/A,N/A,N/A,No direct evidence for background brightness,not_comparable,no-comparable-evidence,unable,N/A,"R-layer visual atmosphere indicator."
E009,bg_saturation,no_comparable_evidence,TBD: no direct real-world benchmark,N/A,N/A,N/A,N/A,No direct evidence for background saturation,not_comparable,no-comparable-evidence,unable,N/A,"R-layer visual atmosphere indicator."
E010,image_entropy_background,no_comparable_evidence,TBD: no direct real-world benchmark,N/A,N/A,N/A,N/A,No direct evidence for background entropy,not_comparable,no-comparable-evidence,unable,N/A,"R-layer visual complexity indicator."
E011,center_distance,no_comparable_evidence,TBD: no direct real-world benchmark,N/A,N/A,N/A,N/A,No direct evidence for image-center distance,not_comparable,no-comparable-evidence,unable,N/A,"Composition indicator."
E012,area_ratio,no_comparable_evidence,TBD: no direct real-world benchmark,N/A,N/A,N/A,N/A,No direct evidence for person area ratio,not_comparable,no-comparable-evidence,unable,N/A,"Composition indicator."
